Question,Answer 1,Answer 2,Answer 3,Type
what is the dumbphone 2?,"the dumbphone 2 is a TCL Flip 2 with our own custom dumbOS. it can be used standalone or as a companion phone for your smartphone, proven to reduce your screentime and exist IRL without losing important tools. ","each phone comes with essentials:
-phone line
-unlimited calls and sms text
-1gb data (enough for a dumbphone!)
-maps 
-hotspot, bluetooth, wifi
-signal ***NEW*** 
-calendar ***NEW*** syncs w/ google cal
-voice-to-text and TT9 ***NEW*** 
-uber lite (teen accounts not supported)
-2-factor authentification
-clock (alarm, timer, stopwatch)
-camera
-recorder 
-weather 
-snake :)","based on the plan you choose, you can customize the phone to also have:
-call fwding from ur smartphone to ur dumbphone
-sync smartphone texts
-sync contacts
-whatsapp
-spotify, apple music, podcasts",General
"how does it work?
","every dumbphone 2 comes with a ready to activate SIM card (which we already insert for you!). by default, outgoing calls are made from your dumbphone's number, while incoming calls can be forwarded from your smartphone and your texts can be synced to the dumbphone. you can also transfer your existing number to the dumbphone. it gives you healthier boundaries without completely disconnecting from your life.",ready to ditch your smartphone altogether? we can also port your existing phone number directly to the dumbphone.,"the service is a monthly phone plan that automatically renews until you cancel. we simply ask for a 4-month minimum to give you enough time to build new habits. after your first four months, you can cancel anytime. 
",General
can i keep my current phone number?,"yes, you can transfer your current phone number to the dumbphone OR get a new number on the dumbphone. this is NOT recommended if you plan to use the dumbphone as a companion device for your smartphone. 

**transferring your phone number will CANCEL the service on your current phone. after the transfer finishes, the number will only work on your dumbphone. do not choose this option if you want to keep service on your smartphone.**",,,General
,,,,
how much does it cost and what features does each plan offer?,"the dumbphone 2 costs just $20 upfront for the phone itself. once the dumbphone arrives, you will activate the SIM that we've already inserted in the phone for you. you'll choose the monthly plan that best fits how you want to use it. every plan includes active phone service on t-mobile's cellular network.","regardless of the plan you choose, every phone comes with the essentials: active phone line, unlimited calls and text, 1gb data, maps, hotspot, bluetooth, wifi, uber, signal, whatsapp, microsoft 2fa, alarm clock, camera, recorder, weather, notes.","**DUMB $25.99/month + tax**
a companion device for your smartphone.
-forward calls and sync txts + contacts
-spotify, apple music, podcasts
-whatsapp

**DUMBER $20.99/month + tax**
a companion device for your smartphone.
-forward calls and sync txts + contacts
-whatsapp

**DUMBEST $15.99/month + tax**
a standalone device; no connection to a smartphone. a great option for kids, families, or anyone ready to say goodbye to their smartphone entirely",General
can i use my own phone plan?,"our custom dumbOS software on the dumbphone 2 is only available with an active dumb.co phone plan. without our phone plan, most core features of dumbOS will not work. 

we encourage customers to ask for financial assistance from by emailing support@dumb.co instead of using a different phone plan. ","bundling the phone and choosing to continue our monthly plan (instead of a giant phone company) supports our small start-up which allows for:

-low upfront and monthly cost
-100% human in-house support for hardware, software, and phone service
-future iterations of the dumbphone
-simple setup
-software updates
-phone-free community events
-month offline groups",,General
"do i have to sync it to a smartphone?
","nope! with our DUMBEST phone plan, there are ZERO ties to a smartphone. the dumbphone 2 has its own phone number for call and SMS text. it also has maps, WhatsApp, Uber, camera, alarm, and 2-factor authentication. you'll just select the DUMBEST plan once activating your phone.","a great option for kids and families, or people who are ready to say goodbye to their smartphone entirely.",,General
what cellular network does it use?,the dumbphone 2 uses t-mobile's network. service is available in the U.S. + Puerto Rico. service will be available in Alaska this summer! email us support@dumb.co and we will reach out to you once it's available.,,,General
can i sideload apps onto it?,"while it is possible, **we strongly advise against it**. this can cause disrupt or cause irreversible damage to the dumbOS on your dumbphone and slow down core functionality. the apps within our dumbOS are heavily modified to be optimized for the hardware. wiping or factory resetting dumbOS will also require a replacement phone. ","**dumb.co does not provide technical support for personal sideloading.** we only offer troubleshooting support for our dumbOS.

proceed at your own risk​!",,General
"how does signal work on the phone?
","the dumbphone 2 links to your existing signal account as a secondary device, using the same linked-device flow as signal desktop. keys and messages remain on the phone and communicate directly with signal’s service without passing through our infrastructure. ","we’re happy to answer any other questions about signal on the dumbphone 2 – just reach out to us at support@dumb.co
",,General
